# Flame Wheel
000000000;4291420554;0;Tx; 
000241518;4300921482;3;9;3;6292076
000241518;4300921482;4;0;0;1
000241518;4300921482;6;1;0;311
000241629;4272321920;1;1;2;468;2;1;0;9;3;1;0;9;4;1;0;100
000241658;4300921482;5;0;0;8
000241658;4300921482;7;4;0;298423
000241658;4300921482;8;1;1;2
000241658;4300921482;9;1;0;28
000241658;4300921482;10;1;0;180
000241661;4300921482;12;1;3;0
000241989;4300921482;1;5;0;2338
000241989;4300921482;2;9;0;2698118
000241989;4300921482;3;9;3;6292076
000241989;4300921482;4;0;0;1
000241990;4300921482;6;1;0;311
000242106;4300921482;11;1;0;98
000242106;4300921482;13;4;0;0
000242106;4300921482;14;5;1;1706509
000242138;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000242258;4300921482;5;0;0;8
000242258;4300921482;7;4;0;298423
000242258;4300921482;8;1;1;3
000242258;4300921482;9;1;0;28
000242258;4300921482;10;1;0;180
000242261;4300921482;12;1;3;0
000242498;4300921482;1;5;0;2339
000242498;4300921482;2;9;0;2698118
000242498;4300921482;3;9;3;6292076
000242498;4300921482;4;0;0;1
000242498;4300921482;6;1;0;311
000242658;4272321920;1;1;2;468;2;1;0;9;3;1;0;9;4;1;0;98
000242699;4300921482;5;0;0;8
000242699;4300921482;7;4;0;298424
000242699;4300921482;8;1;1;7
000242699;4300921482;9;1;0;28
000242699;4300921482;10;1;0;116
000242699;4300921482;12;1;3;0
000242939;4300921482;1;5;0;2339
000242939;4300921482;2;9;0;2698118
000242939;4300921482;3;9;3;6292076
000242942;4300921482;4;0;0;1
000242942;4300921482;6;1;0;311
000243189;4300921482;5;0;0;8
000243189;4300921482;7;4;0;298424
000243189;4300921482;8;1;1;7
000243189;4300921482;9;1;0;28
000243189;4300921482;10;1;0;116
000243189;4300921482;12;1;3;0
000243189;4272321920;1;1;2;468;2;1;0;9;3;1;0;9;4;1;0;100
000243418;4300921482;11;1;0;98
000243418;4300921482;13;4;0;0
000243418;4300921482;14;5;1;1706509
000243542;4300921482;1;5;0;2340
000243542;4300921482;2;9;0;2698118
000243542;4300921482;3;9;3;6292076
000243546;4300921482;4;0;0;1
000243546;4300921482;6;1;0;311
000243698;4272321920;1;1;2;467;2;1;0;9;3;1;0;9;4;1;0;100
000243698;4300921482;5;0;0;8
000243698;4300921482;7;4;0;298424
000243698;4300921482;8;1;1;7
000243698;4300921482;9;1;0;28
000243698;4300921482;10;1;0;119
000243698;4300921482;12;1;3;0
000244029;4300921482;1;5;0;2340
000244029;4300921482;2;9;0;2698118
000244029;4300921482;3;9;3;6292076
000244029;4300921482;4;0;0;1
000244029;4300921482;6;1;0;311
000244141;4300921482;5;0;0;8
000244144;4300921482;7;4;0;298424
000244144;4300921482;8;1;1;2
000244144;4300921482;9;1;0;28
000244144;4300921482;10;1;0;180
000244144;4300921482;12;1;3;0
000244218;4272321920;1;1;2;468;2;1;0;9;3;1;0;9;4;1;0;100
000244509;4300921482;1;5;0;2341
000244509;4300921482;2;9;0;2698118
000244509;4300921482;3;9;3;6292076
000244509;4300921482;4;0;0;1
000244509;4300921482;6;1;0;311
000244619;4300921482;5;0;0;8
000244619;4300921482;7;4;0;298424
000244619;4300921482;8;1;1;2
000244619;4300921482;9;1;0;28
000244619;4300921482;10;1;0;180
000244622;4300921482;12;1;3;0
000244741;4300921482;11;1;0;98
000244741;4300921482;13;4;0;0
000244741;4300921482;14;5;1;1706509
000244741;4272321920;1;1;2;468;2;1;0;9;3;1;0;9;4;1;0;100
000245099;4300921482;1;5;0;2341
000245099;4300921482;2;9;0;2698117
000245099;4300921482;3;9;3;6292076
000245099;4300921482;4;0;0;1
000245099;4300921482;6;1;0;312
000245229;4300921482;5;0;0;8
000245229;4300921482;7;4;0;298424
000245229;4300921482;8;1;1;2
000245229;4300921482;9;1;0;29
000245229;4300921482;10;1;0;180
000245232;4300921482;12;1;3;0
000245258;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000245586;4300921482;1;5;0;2342
000245586;4300921482;2;9;0;2698117
000245586;4300921482;3;9;3;6292077
000245588;4300921482;4;0;0;1
000245588;4300921482;6;1;0;312
000245709;4300921482;5;0;0;8
000245709;4300921482;7;4;0;298426
000245709;4300921482;8;1;1;9
000245709;4300921482;9;1;0;29
000245710;4300921482;10;1;0;108
000245710;4300921482;12;1;3;0
