# Goblin 700
000000000;4291420554;0;Tx; 
000188921;3920121719;7;1;0;21
000188921;3920121719;9;1;0;10
000188998;4272321920;1;1;2;825;2;1;0;9;3;1;0;9;4;1;0;96
000189018;3920121719;1;1;1;497
000189018;3920121719;2;1;0;2
000189018;3920121719;3;1;1;55
000189018;3920121719;4;1;1;0
000189018;3920121719;6;4;0;758
000189019;3920121719;9;1;0;10
000189118;3920121719;1;1;1;497
000189118;3920121719;2;1;0;2
000189118;3920121719;4;1;1;0
000189118;3920121719;6;4;0;761
000189118;3920121719;8;5;0;2
000189118;3920121719;9;1;0;10
000189198;3920121719;1;1;1;497
000189198;3920121719;2;1;0;2
000189198;3920121719;3;1;1;55
000189198;3920121719;4;1;1;0
000189198;3920121719;6;4;0;762
000189198;3920121719;9;1;0;10
000189298;3920121719;1;1;1;497
000189298;3920121719;2;1;0;2
000189298;3920121719;4;1;1;0
000189298;3920121719;5;4;0;0
000189298;3920121719;6;4;0;765
000189298;3920121719;9;1;0;10
000189408;3920121719;1;1;1;497
000189408;3920121719;2;1;0;2
000189408;3920121719;3;1;1;55
000189408;3920121719;4;1;1;0
000189408;3920121719;6;4;0;769
000189408;3920121719;9;1;0;10
000189498;3920121719;1;1;1;497
000189498;3920121719;2;1;0;2
000189498;3920121719;4;1;1;0
000189498;3920121719;6;4;0;770
000189498;3920121719;7;1;0;21
000189498;3920121719;9;1;0;10
000189518;4272321920;1;1;2;825;2;1;0;9;3;1;0;9;4;1;0;100
000189598;3920121719;1;1;1;497
000189598;3920121719;2;1;0;2
000189598;3920121719;3;1;1;55
000189598;3920121719;4;1;1;0
000189598;3920121719;6;4;0;772
000189598;3920121719;9;1;0;10
000189698;3920121719;1;1;1;497
000189698;3920121719;2;1;0;2
000189698;3920121719;4;1;1;0
000189701;3920121719;5;4;0;0
000189701;3920121719;6;4;0;775
000189701;3920121719;9;1;0;10
000189798;3920121719;1;1;1;497
000189798;3920121719;2;1;0;2
000189798;3920121719;3;1;1;55
000189798;3920121719;4;1;1;0
000189798;3920121719;6;4;0;778
000189798;3920121719;9;1;0;10
000189898;3920121719;1;1;1;497
000189898;3920121719;2;1;0;2
000189898;3920121719;4;1;1;0
000189898;3920121719;6;4;0;780
000189898;3920121719;7;1;0;21
000189898;3920121719;9;1;0;10
000189998;3920121719;1;1;1;497
000189998;3920121719;2;1;0;2
000190001;3920121719;3;1;1;55
000190001;3920121719;4;1;1;0
000190001;3920121719;6;4;0;782
000190001;3920121719;9;1;0;10
000190038;4272321920;1;1;2;825;2;1;0;9;3;1;0;9;4;1;0;100
000190098;3920121719;1;1;1;496
000190098;3920121719;2;1;0;2
000190098;3920121719;4;1;1;0
000190098;3920121719;6;4;0;784
000190098;3920121719;8;5;0;3
000190098;3920121719;9;1;0;10
000190198;3920121719;1;1;1;496
000190198;3920121719;2;1;0;2
000190198;3920121719;3;1;1;55
000190198;3920121719;4;1;1;0
000190198;3920121719;6;4;0;784
000190201;3920121719;9;1;0;10
000190298;3920121719;1;1;1;497
000190298;3920121719;2;1;0;2
000190298;3920121719;4;1;1;0
000190298;3920121719;5;4;0;1
000190298;3920121719;6;4;0;788
000190298;3920121719;9;1;0;10
000190378;3920121719;1;1;1;497
000190378;3920121719;2;1;0;2
000190378;3920121719;3;1;1;55
000190378;3920121719;4;1;1;0
000190378;3920121719;6;4;0;789
000190378;3920121719;9;1;0;10
000190498;3920121719;1;1;1;497
000190498;3920121719;2;1;0;2
000190498;3920121719;4;1;1;0
000190498;3920121719;6;4;0;790
000190501;3920121719;7;1;0;22
000190501;3920121719;9;1;0;10
000190558;4272321920;1;1;2;825;2;1;0;9;3;1;0;9;4;1;0;100
000190579;3920121719;1;1;1;497
000190579;3920121719;2;1;0;2
000190579;3920121719;3;1;1;55
000190579;3920121719;4;1;1;0
000190579;3920121719;6;4;0;789
000190579;3920121719;9;1;0;10
000190678;3920121719;1;1;1;497
000190679;3920121719;2;1;0;2
000190679;3920121719;4;1;1;0
000190679;3920121719;5;4;0;1
000190679;3920121719;6;4;0;789
000190679;3920121719;9;1;0;10
000190778;3920121719;1;1;1;497
000190781;3920121719;2;1;0;2
000190781;3920121719;3;1;1;55
000190781;3920121719;4;1;1;0
000190781;3920121719;6;4;0;793
000190781;3920121719;9;1;0;10
000190878;3920121719;1;1;1;497
000190878;3920121719;2;1;0;2
000190878;3920121719;4;1;1;0
000190878;3920121719;6;4;0;792
000190878;3920121719;7;1;0;22
000190878;3920121719;9;1;0;10
000190978;3920121719;1;1;1;497
000190978;3920121719;2;1;0;2
000190978;3920121719;3;1;1;55
000190978;3920121719;4;1;1;0
000190978;3920121719;6;4;0;792
000190978;3920121719;9;1;0;10
000191079;4272321920;1;1;2;825;2;1;0;9;3;1;0;9;4;1;0;100
000191079;3920121719;1;1;1;497
000191079;3920121719;2;1;0;2
000191079;3920121719;4;1;1;0
000191079;3920121719;6;4;0;796
000191079;3920121719;8;5;0;4
000191079;3920121719;9;1;0;10
000191197;3920121719;1;1;1;497
000191197;3920121719;2;1;0;2
000191197;3920121719;3;1;1;55
000191197;3920121719;4;1;1;0
000191197;3920121719;6;4;0;796
000191197;3920121719;9;1;0;10
000191278;3920121719;1;1;1;497
000191278;3920121719;2;1;0;2
000191278;3920121719;4;1;1;0
000191278;3920121719;5;4;0;2
000191281;3920121719;6;4;0;795
000191281;3920121719;9;1;0;10
000191378;3920121719;1;1;1;497
000191378;3920121719;2;1;0;2
000191378;3920121719;3;1;1;55
000191378;3920121719;4;1;1;0
000191378;3920121719;6;4;0;796
000191378;3920121719;9;1;0;10
000191478;3920121719;1;1;1;497
000191478;3920121719;2;1;0;2
000191478;3920121719;4;1;1;0
000191478;3920121719;6;4;0;797
000191478;3920121719;7;1;0;22
000191478;3920121719;9;1;0;10
000191578;3920121719;1;1;1;497
000191578;3920121719;2;1;0;2
000191578;3920121719;3;1;1;55
000191581;3920121719;4;1;1;0
000191581;3920121719;6;4;0;797
000191581;3920121719;9;1;0;10
000191599;4272321920;1;1;2;825;2;1;0;9;3;1;0;9;4;1;0;100
000191677;3920121719;1;1;1;497
000191677;3920121719;2;1;0;2
000191677;3920121719;4;1;1;0
000191677;3920121719;5;4;0;2
000191677;3920121719;6;4;0;796
000191677;3920121719;9;1;0;10
000191758;3920121719;1;1;1;496
000191758;3920121719;2;1;0;2
000191758;3920121719;3;1;1;55
000191758;3920121719;4;1;1;0
000191758;3920121719;6;4;0;797
000191758;3920121719;9;1;0;10
000191879;3920121719;1;1;1;497
000191879;3920121719;2;1;0;2
000191879;3920121719;4;1;1;0
000191879;3920121719;6;4;0;797
000191879;3920121719;7;1;0;22
000191879;3920121719;9;1;0;10
000191958;3920121719;1;1;1;497
000191958;3920121719;2;1;0;2
000191958;3920121719;3;1;1;55
000191958;3920121719;4;1;1;0
000191958;3920121719;6;4;0;798
000191958;3920121719;9;1;0;10
000192059;3920121719;1;1;1;497
000192059;3920121719;2;1;0;2
000192059;3920121719;4;1;1;0
000192059;3920121719;6;4;0;798
000192059;3920121719;8;5;0;5
000192063;3920121719;9;1;0;10
000192118;4272321920;1;1;2;825;2;1;0;9;3;1;0;9;4;1;0;98
000192178;3920121719;1;1;1;496
000192178;3920121719;2;1;0;2
000192178;3920121719;3;1;1;55
000192178;3920121719;4;1;1;0
000192178;3920121719;6;4;0;834
000192178;3920121719;9;1;0;14
000192358;3920121719;1;1;1;496
000192358;3920121719;2;1;0;3
000192358;3920121719;3;1;1;55
000192358;3920121719;4;1;1;0
000192358;3920121719;6;4;0;929
000192358;3920121719;9;1;0;14
000192458;3920121719;1;1;1;496
000192458;3920121719;2;1;0;3
000192461;3920121719;4;1;1;0
000192461;3920121719;6;4;0;963
000192461;3920121719;7;1;0;22
000192461;3920121719;9;1;0;15
000192578;3920121719;1;1;1;496
000192578;3920121719;2;1;0;3
000192578;3920121719;3;1;1;55
000192578;3920121719;4;1;1;0
000192578;3920121719;6;4;0;991
000192578;3920121719;9;1;0;15
000192647;3920121719;1;1;1;495
